epoch,time_elapsed,rollout_ep_steps,total_rollout_steps,rollout_return,actor_lr,critic_lr,,,,,
13.14343667,16200,0.001,200,-251.1496407,80,0.0001,,,,2.8191862,0.3079883
13.38120484,16400,0.001,200,-236.1389766,81,0.0001,,,,2.888932,0.31181768
13.61862469,16600,0.001,200,-274.6916299,82,0.0001,,,,2.9526877,0.31449378
13.85784578,16800,0.001,200,-258.8356202,83,0.0001,,,,3.0334494,0.31131065
14.09521985,17000,0.001,200,-251.015547,84,0.0001,,,,3.104837,0.31647894
14.33370113,17200,0.001,200,-259.2797748,85,0.0001,,,,3.1844015,0.3136864
14.5751996,17400,0.001,200,-261.8529068,86,0.0001,,,,3.24902,0.31770164
14.8141346,17600,0.001,200,-278.7201943,87,0.0001,,,,3.3440177,0.30767736
15.0500226,17800,0.001,200,-263.7431796,88,0.0001,,,,3.4129856,0.31110916
15.28919959,18000,0.001,200,-247.1291744,89,0.0001,,,,3.4847162,0.3132884
15.53004146,18200,0.001,200,-300.8267886,90,0.0001,,,,3.5455573,0.31789422
15.76734257,18400,0.001,200,-247.2114228,91,0.0001,,,,3.6002948,0.32155553
16.00823092,18600,0.001,200,-248.4527554,92,0.0001,,,,3.6492188,0.32086426
16.24443173,18800,0.001,200,-247.9585637,93,0.0001,,,,3.7256293,0.31909814
16.48369312,19000,0.001,200,-249.2161049,94,0.0001,,,,3.8094697,0.31902754
16.7251575,19200,0.001,200,-253.9341419,95,0.0001,,,,3.8800573,0.31977424
16.96196175,19400,0.001,200,-259.3302553,96,0.0001,,,,3.9455886,0.32387096
17.2015717,19600,0.001,200,-252.0902748,97,0.0001,,,,4.0267644,0.337777
17.43684864,19800,0.001,200,-256.5825167,98,0.0001,,,,4.1007633,0.34056556
17.67323041,20000,0.001,200,-285.1809492,99,0.0001,,,,4.1881866,0.3354735
17.91207838,20200,0.001,200,-240.5208715,100,0.0001,,,,4.253694,0.3576672
18.15253448,20400,0.001,200,-249.50362,101,0.0001,,,,4.327025,0.35204116
18.38960123,20600,0.001,200,-283.9706507,102,0.0001,,,,4.424803,0.3634905
18.62705541,20800,0.001,200,-263.8143023,103,0.0001,,,,4.4757032,0.35685077
18.86462069,21000,0.001,200,-256.2033107,104,0.0001,,,,4.5270977,0.37025577
19.10199142,21200,0.001,200,-265.9576479,105,0.0001,,,,4.607007,0.38426685
19.33867264,21400,0.001,200,-251.7215321,106,0.0001,,,,4.677414,0.36390194
19.57591081,21600,0.001,200,-254.7648519,107,0.0001,,,,4.739142,0.3468083
19.81324506,21800,0.001,200,-248.9543645,108,0.0001,,,,4.834921,0.36124063
20.04839921,22000,0.001,200,-247.4330907,109,0.0001,,,,4.91631,0.3572685
20.28547263,22200,0.001,200,-259.0404138,110,0.0001,,,,4.98534,0.3168731
20.52229548,22400,0.001,200,-295.9599508,111,0.0001,,,,5.0849886,0.3164293
20.75779843,22600,0.001,200,-274.8335104,112,0.0001,,,,5.134445,0.314429
20.99324417,22800,0.001,200,-274.4285309,113,0.0001,,,,5.2419133,0.29973653
21.230582,23000,0.001,200,-254.799701,114,0.0001,,,,5.3022943,0.28403988
21.46690822,23200,0.001,200,-240.2820417,115,0.0001,,,,5.364099,0.2846557
21.70210004,23400,0.001,200,-230.5392372,116,0.0001,,,,5.4262323,0.27972302
21.93851161,23600,0.001,200,-237.0770343,117,0.0001,,,,5.50487,0.24368931
22.17547059,23800,0.001,200,-246.5437324,118,0.0001,,,,5.533092,0.28855148
22.41334677,24000,0.001,200,-260.9042484,119,0.0001,,,,5.5688734,0.33870354
22.65033054,24200,0.001,200,-235.9288187,120,0.0001,,,,5.63397,0.32659614
22.89276028,24400,0.001,200,-250.4639039,121,0.0001,,,,5.688963,0.34217775
23.13055754,24600,0.001,200,-278.203917,122,0.0001,,,,5.7561717,0.3760289
23.36764836,24800,0.001,200,-286.1692533,123,0.0001,,,,5.8496203,0.37596643
23.60384464,25000,0.001,200,-275.2130435,124,0.0001,,,,5.8899727,0.3838402
23.83987617,25200,0.001,200,-242.529134,125,0.0001,,,,5.9695063,0.35091335
24.07634854,25400,0.001,200,-249.6660217,126,0.0001,,,,6.040615,0.3366927
24.31519508,25600,0.001,200,-254.8395167,127,0.0001,,,,6.0922866,0.32882714
24.55570388,25800,0.001,200,-243.0361404,128,0.0001,,,,6.1261806,0.33502132
24.79273725,26000,0.001,200,-241.3873543,129,0.0001,,,,6.187688,0.32621795
25.03141308,26200,0.001,200,-246.2264245,130,0.0001,,,,6.2182484,0.338897
25.2722888,26400,0.001,200,-264.9304387,131,0.0001,,,,6.3025136,0.30614576
25.5138967,26600,0.001,200,-248.5342999,132,0.0001,,,,6.3652897,0.33554953
25.75711298,26800,0.001,200,-267.1009943,133,0.0001,,,,6.4361186,0.29374936
26.00153399,27000,0.001,200,-256.5524921,134,0.0001,,,,6.440243,0.32678622
26.2412703,27200,0.001,200,-253.2926563,135,0.0001,,,,6.500209,0.3567905
26.48548985,27400,0.001,200,-256.7419968,136,0.0001,,,,6.583418,0.34010592
26.7216208,27600,0.001,200,-253.4622246,137,0.0001,,,,6.6040134,0.35481408
26.95960498,27800,0.001,200,-249.7850713,138,0.0001,,,,6.7009916,0.34674725
27.19756556,28000,0.001,200,-258.197172,139,0.0001,,,,6.749798,0.3262908
27.43503046,28200,0.001,200,-250.4722734,140,0.0001,,,,6.758835,0.38259038
27.67259884,28400,0.001,200,-251.6874755,141,0.0001,,,,6.9211206,0.2985697
